year,country,impact
1995,CHN,0.03222414067421787
1995,KOR,0.03119411671800222
1995,SGP,0.02723238110652079
1995,ESP,0.023872559068178267
1995,CHE,0.02813888379620073
1995,MYS,0.02181128230711695
1995,MEX,0.04291830964265631
1995,SWE,0.018718746129176973
1995,RUS,0.012922896927930966
1995,THA,0.021572703645864548
1995,AUT,0.02882053203844203
1995,AUS,0.017165579055982795
1995,TWN,0.021478707485520367
1995,BRA,0.01793069369157094
1995,DNK,0.017426089208472603
1995,SAU,0.013614725070723989
1995,IDN,0.01815927990748964
1995,IRL,0.016948635737549095
1995,NOR,0.010114748773300574
1995,FIN,0.009042890405834962
1995,IND,0.007842519288006495
1996,USA,0.06674016932793812
1996,DEU,0.050400174299011696
1996,JPN,0.0518072966222628
1996,FRA,0.039251929284751276
1996,GBR,0.04019999693997449
1996,ITA,0.034967568460804586
1996,CAN,0.057546610487660424
1996,NLD,0.035200312241366286
1996,HKG,0.03345844862269162
1996,CHN,0.031547982296858984
1996,KOR,0.029652134554055166
1996,SGP,0.02724826369557416
1996,ESP,0.023828402668027885
1996,MEX,0.04487061130747349
1996,CHE,0.026095768697998192
1996,MYS,0.020398778349021218
1996,RUS,0.013151021210950756
1996,SWE,0.01783297947930847
1996,AUT,0.028058312233506272
1996,THA,0.02003050661984148
1996,AUS,0.015919649806145204
1996,BRA,0.0183491348479723
1996,SAU,0.015499161012099878
1996,TWN,0.019254212703823326
1996,DNK,0.01609096912230193
1996,IDN,0.017202957489051277
1996,NOR,0.010792633837224634
1996,IRL,0.017012921090582434
1996,IND,0.008314673708928447
1996,FIN,0.008242271134181516
1997,USA,0.06625028361435864
1997,DEU,0.048208092525573204
1997,JPN,0.04976960272644414
1997,GBR,0.04017607715586671
1997,FRA,0.0373318154663755
1997,ITA,0.032746573969630155
1997,CAN,0.05730109690352817
1997,NLD,0.032855857318782294
1997,CHN,0.031623776357923836
1997,HKG,0.03342220322830376
1997,KOR,0.027545074061677076
1997,SGP,0.02628523589594645
1997,ESP,0.022672066537790164
1997,BEL,0.02156935725547742
1997,MEX,0.046213988016972664
1997,CHE,0.0240370628732731
1997,MYS,0.020103973536506645
1997,RUS,0.013513879261657303
1997,SWE,0.01634353643473054
1997,AUS,0.015512174807056476
1997,AUT,0.025974150638487268
1997,THA,0.01692650643950233
1997,BRA,0.019262663203763672
1997,TWN,0.018880000384351326
1997,SAU,0.014453279222384059
1997,IDN,0.016585276907100415
1997,DNK,0.015165512190786571
1997,IRL,0.017681945588767855
1997,NOR,0.010910944755926119
1997,IND,0.008509737827005696
1998,USA,0.0683459985313259
1998,DEU,0.05098404635348262
1998,JPN,0.04914184952087052
1998,FRA,0.03969271732759628
1998,GBR,0.041340991181161094
1998,ITA,0.03426178128221056
1998,CAN,0.05902490407045284
1998,NLD,0.033691916624236984
1998,CHN,0.03275945247079036
1998,HKG,0.03258973438997932
1998,ESP,0.024532846434887224
1998,BEL,0.022491817328817755
1998,MEX,0.04856412584755186
1998,KOR,0.025102651808168976
1998,SGP,0.02494746362332237
1998,CHE,0.025401295172905895
1998,SWE,0.016868920110618673
1998,MYS,0.019342955232202697
1998,AUT,0.027652056395540373
1998,RUS,0.011947540542987379
1998,AUS,0.0145584348310062
1998,BRA,0.019200258201246698
1998,IRL,0.01826659988109304
1998,TWN,0.017841259749081823
1998,THA,0.01436767361381016
1998,DNK,0.015313160876420826
1998,SAU,0.013899078237298301
1998,NOR,0.008906322158692807
1998,FIN,0.008399137285122295
